#options: 1280x720 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=32.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:59 out:56 type:P dur:2 cpbdur:2 q:37.40 aq:23.87 tex:1260 mv:180 misc:752 imb:2 pmb:85 smb:3513 d:- ref:0 ;
in:57 out:57 type:B dur:2 cpbdur:2 q:37.40 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:56 out:58 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:58 out:59 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:63 out:60 type:P dur:2 cpbdur:2 q:37.40 aq:24.03 tex:794 mv:134 misc:664 imb:4 pmb:66 smb:3530 d:- ref:0 ;
in:61 out:61 type:B dur:2 cpbdur:2 q:37.40 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:60 out:62 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:62 out:63 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:67 out:64 type:P dur:2 cpbdur:2 q:37.40 aq:23.85 tex:1264 mv:310 misc:994 imb:16 pmb:141 smb:3443 d:- ref:0 ;
in:65 out:65 type:B dur:2 cpbdur:2 q:37.40 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:64 out:66 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:66 out:67 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:71 out:68 type:P dur:2 cpbdur:2 q:37.40 aq:23.94 tex:2158 mv:451 misc:1215 imb:20 pmb:174 smb:3406 d:- ref:0 ;
in:69 out:69 type:B dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:68 out:70 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:70 out:71 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:75 out:72 type:P dur:2 cpbdur:2 q:37.40 aq:23.23 tex:3687 mv:645 misc:1484 imb:39 pmb:206 smb:3355 d:- ref:0 ;
in:73 out:73 type:B dur:2 cpbdur:2 q:37.40 aq:31.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:72 out:74 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:74 out:75 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:79 out:76 type:P dur:2 cpbdur:2 q:37.40 aq:23.67 tex:2082 mv:353 misc:1125 imb:10 pmb:166 smb:3424 d:- ref:0 ;
in:77 out:77 type:B dur:2 cpbdur:2 q:37.40 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:76 out:78 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:78 out:79 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:83 out:80 type:P dur:2 cpbdur:2 q:37.40 aq:23.01 tex:2107 mv:382 misc:1015 imb:18 pmb:129 smb:3453 d:- ref:0 ;
in:81 out:81 type:B dur:2 cpbdur:2 q:37.40 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:80 out:82 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:82 out:83 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:87 out:84 type:P dur:2 cpbdur:2 q:37.40 aq:23.63 tex:3165 mv:438 misc:1149 imb:23 pmb:161 smb:3416 d:- ref:0 ;
in:85 out:85 type:B dur:2 cpbdur:2 q:37.40 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:84 out:86 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:86 out:87 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:91 out:88 type:P dur:2 cpbdur:2 q:37.40 aq:22.31 tex:946 mv:160 misc:622 imb:9 pmb:49 smb:3542 d:- ref:0 ;
in:89 out:89 type:B dur:2 cpbdur:2 q:37.40 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:88 out:90 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
